Summary,Issue key,Issue Type,Project key,Project name,Project lead,Priority,Assignee,Description
System Monitoring Dashboards,VS-1,Epic,VS,VitalSync,Alejandra Badia,Medium,,"Design and development of dashboards that provide visibility into system health, integration status, and operational performance across simulated systems. This includes defining key metrics, status indicators, and visual representations that enable users to monitor system behavior and identify issues."
Data Integration Simulation,VS-2,Epic,VS,VitalSync,Alejandra Badia,High,,"Simulation of data exchange between multiple systems to replicate real-world integration workflows. This includes generating synthetic data, modeling system interactions, and representing how data flows across distributed environments."
Message Logging (HL7-style),VS-3,Epic,VS,VitalSync,Alejandra Badia,Medium,,"Implementation of structured message logging to simulate healthcare-style data exchanges using HL7-like formats. This includes capturing, storing, and displaying message events to provide traceability of system interactions and support observability."
Data Modeling & Architecture,VS-4,Epic,VS,VitalSync,Alejandra Badia,High,,"Design of the platform’s data architecture, including relational schema definition, data relationships, and handling of normalized and denormalized structures. Ensures data integrity, consistency across system components, and scalability to support simulated multi-system environments."
HL7-style message log simulation and visualization,VS-6,Story,VS,VitalSync,Alejandra Badia,High,Alejandra Badia,"Acceptance Criteria:

* Message logs capture events with timestamps, statuses, and are viewable in UI"
Error state simulation for system failures and delays,VS-10,Story,VS,VitalSync,Alejandra Badia,Medium,Alejandra Badia,"Acceptance Criteria:

* System displays simulated failure states and reflects them in monitoring dashboard"
Data flow visualization across systems,VS-11,Story,VS,VitalSync,Alejandra Badia,Medium,Alejandra Badia,"Acceptance Criteria:

* UI represents relationships and flow between systems and data entities"
Data inconsistency across dashboards and source tables,VS-13,Story,VS,VitalSync,Alejandra Badia,High,Alejandra Badia,"Acceptance Criteria:

* Dashboards, logs, and data tables reflect aligned and consistent system information"
Denormalized data misalignment with source system records ,VS-14,Story,VS,VitalSync,Alejandra Badia,Medium,Alejandra Badia,"Acceptance Criteria:

* Aggregated / derived data correctly reflects underlying normalized data"
External API integration simulation (FHIR-style endpoints),VS-12,Story,VS,VitalSync,Alejandra Badia,Medium,Alejandra Badia,"Acceptance Criteria:

* System retrieves and processes data from simulated external API endpoint"
"Relational database schema design for systems, logs, and transactions",VS-8,Story,VS,VitalSync,Alejandra Badia,High,Alejandra Badia,"Acceptance Criteria:

* Schema supports relationships between systems, logs, and operational data"
"Simulated multi-system datasets (patients, transactions, system events)",VS-7,Story,VS,VitalSync,Alejandra Badia,High,Alejandra Badia,"Acceptance Criteria:

* Database populated with structured datasets representing multiple systems and events"
System monitoring dashboards displaying system health and KPIs,VS-5,Story,VS,VitalSync,Alejandra Badia,High,Alejandra Badia,"Acceptance Criteria:

* Dashboard displays system status, KPIs, and integration health indicators"
Integration status tracking across simulated systems,VS-9,Story,VS,VitalSync,Alejandra Badia,High,Alejandra Badia,"Acceptance Criteria:

* Dashboards reflect real-time status of integrations (success, error, pending)"
